BPL,BPLD,CITIZEN,EDUC,EDUCD,CLASSWKR,CLASSWKRD,INCTOT
200,20000,3,2,25,0,0,"9999999
"
200,20000,3,6,61,0,0,"0
"
502,50200,3,6,65,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,4,40,0,0,"0
"
200,20000,3,11,114,0,0,"0
"
200,20000,3,5,50,0,0,"0
"
500,50000,3,7,71,0,0,"0
"
517,51700,3,0,2,0,0,"0
"
210,21030,3,2,23,0,0,"0
"
517,51700,3,0,2,0,0,"0
"
200,20000,3,6,64,0,0,"0
"
200,20000,3,4,40,0,0,"0
"
210,21030,3,3,30,0,0,"0
"
501,50100,3,7,71,2,22,"0
"
600,60094,3,7,71,0,0,"0
"
500,50010,3,6,63,0,0,"0
"
210,21030,3,3,30,0,0,"0
"
200,20000,3,0,2,2,22,"0
"
200,20000,3,6,64,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,2,26,0,0,"0
"
500,50000,3,7,71,2,22,"0
"
300,30015,3,6,65,0,0,"0
"
500,50000,3,6,65,0,0,"0
"
200,20000,3,4,40,0,0,"0
"
518,51800,3,6,63,0,0,"0
"
501,50100,3,6,63,0,0,"0
"
210,21030,3,0,2,0,0,"0
"
300,30015,3,10,101,2,22,"0
"
210,21040,3,4,40,0,0,"0
"
502,50200,3,2,23,0,0,"0
"
500,50000,3,1,17,0,0,"9999999
"
401,40100,3,6,63,2,22,"0
"
200,20000,3,11,114,0,0,"0
"
515,51500,3,10,101,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
210,21040,3,6,63,2,22,"0
"
200,20000,3,0,2,0,0,"0
"
465,46540,3,8,81,2,22,"0
"
300,30015,3,10,101,2,22,"0
"
200,20000,3,4,40,0,0,"0
"
517,51700,3,0,2,0,0,"0
"
200,20000,3,7,71,0,0,"0
"
210,21050,3,3,30,0,0,"0
"
210,21050,3,2,26,0,0,"0
"
465,46590,3,5,50,0,0,"0
"
500,50000,3,6,65,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
500,50000,3,10,101,0,0,"0
"
200,20000,3,7,71,0,0,"0
"
521,52100,3,7,71,0,0,"0
"
200,20000,3,10,101,0,0,"0
"
517,51700,3,0,2,0,0,"0
"
200,20000,3,1,16,0,0,"0
"
465,46540,3,7,71,0,0,"0
"
210,21030,3,6,65,2,22,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
600,60045,3,0,2,0,0,"9999999
"
200,20000,3,11,114,0,0,"0
"
200,20000,3,0,2,2,22,"0
"
200,20000,3,3,30,0,0,"0
"
532,53200,3,2,26,0,0,"0
"
401,40100,3,6,63,2,22,"0
"
200,20000,3,5,50,0,0,"0
"
500,50040,3,7,71,0,0,"0
"
200,20000,3,6,61,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
500,50000,3,6,65,0,0,"0
"
500,50000,3,10,101,0,0,"0
"
200,20000,3,4,40,0,0,"0
"
500,50000,3,6,65,0,0,"0
"
210,21030,3,2,26,0,0,"0
"
500,50000,3,6,63,0,0,"0
"
413,41300,3,0,1,0,0,"9999999
"
150,15000,3,0,1,0,0,"9999999
"
453,45300,3,0,1,0,0,"9999999
"
210,21030,3,3,30,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,6,64,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
200,20000,3,3,30,0,0,"0
"
710,71041,3,0,2,2,22,"0
"
210,21050,3,4,40,0,0,"0
"
200,20000,3,5,50,0,0,"0
"
200,20000,3,6,64,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
210,21050,3,4,40,0,0,"0
"
521,52100,3,6,63,0,0,"0
"
150,15000,3,0,1,0,0,"9999999
"
518,51800,3,7,71,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,7,71,2,22,"0
"
210,21030,3,2,23,2,22,"0
"
210,21030,3,2,23,0,0,"0
"
210,21030,3,5,50,2,22,"0
"
500,50040,3,6,63,0,0,"0
"
200,20000,3,7,71,0,0,"0
"
150,15000,3,7,71,0,0,"0
"
200,20000,3,5,50,0,0,"0
"
517,51700,3,0,2,0,0,"0
"
200,20000,3,3,30,0,0,"0
"
200,20000,3,0,2,0,0,"0
"
514,51400,3,7,71,0,0,"0
"
500,50000,3,7,71,2,22,"0
"
710,71015,3,6,63,0,0,"0
"
515,51500,3,10,101,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,1,15,2,22,"0
"
413,41300,3,6,65,0,0,"0
"
502,50200,3,6,65,0,0,"0
"
200,20000,3,6,65,0,0,"0
"
200,20000,3,2,25,0,0,"9999999
"
200,20000,3,2,23,0,0,"9999999
"
200,20000,3,1,16,0,0,"9999999
"
200,20000,3,0,2,0,0,"9999999
"
501,50100,3,6,63,0,0,"0
"
200,20000,3,5,50,0,0,"0
"
515,51500,3,5,50,0,0,"0
"
521,52100,3,6,63,0,0,"0
"
518,51800,3,7,71,0,0,"0
"
150,15000,3,7,71,0,0,"0
"
522,52200,3,6,65,2,22,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,4,40,0,0,"0
"
200,20000,3,10,101,0,0,"0
"
200,20000,3,6,63,2,22,"0
"
200,20000,3,1,16,0,0,"9999999
"
200,20000,3,6,63,0,0,"0
"
500,50000,3,7,71,0,0,"0
"
500,50000,3,7,71,0,0,"0
"
500,50000,3,7,71,0,0,"0
"
500,50000,3,7,71,0,0,"0
"
200,20000,3,2,25,0,0,"9999999
"
515,51500,3,5,50,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
200,20000,3,6,61,1,13,"0
"
200,20000,3,0,2,2,22,"0
"
200,20000,3,5,50,0,0,"0
"
501,50100,3,8,81,2,22,"0
"
200,20000,3,0,2,2,28,"0
"
518,51800,3,10,101,0,0,"0
"
300,30015,3,10,101,2,22,"0
"
300,30015,3,6,65,2,22,"0
"
200,20000,3,3,30,0,0,"0
"
521,52110,3,5,50,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
210,21050,3,5,50,0,0,"0
"
500,50040,3,10,101,2,22,"0
"
200,20000,3,1,16,0,0,"0
"
502,50200,3,6,63,0,0,"0
"
521,52100,3,10,101,0,0,"0
"
521,52100,3,10,101,0,0,"0
"
200,20000,3,7,71,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
210,21050,3,2,22,0,0,"9999999
"
210,21050,3,1,17,0,0,"9999999
"
500,50000,3,10,101,0,0,"0
"
500,50000,3,6,65,0,0,"0
"
501,50100,3,10,101,0,0,"0
"
200,20000,3,6,63,0,0,"0
"
200,20000,3,2,23,0,0,"0
"
300,30065,3,10,101,2,22,"0
"
200,20000,3,2,23,0,0,"0
"
200,20000,3,6,61,0,0,"0
"
210,21050,3,3,30,0,0,"0
"
500,50000,3,8,81,0,0,"0
"
500,50040,3,8,81,0,0,"0
"
200,20000,3,0,2,0,0,"0
"
453,45300,3,6,63,0,0,"0
"
200,20000,3,0,2,0,0,"0
"
200,20000,3,0,2,0,0,"0
"
200,20000,3,7,71,0,0,"0
"
200,20000,3,6,61,0,0,"0
"
200,20000,3,5,50,0,0,"0
"
200,20000,3,10,101,0,0,"0
"
200,20000,3,1,15,0,0,"0
"
